,access_right,communities,conference_acronym,conference_dates,conference_place,conference_title,conference_url,contributors,creators,description,doi,keywords,license,notes,prereserve_doi,publication_date,publication_type,references,title,upload_type,files;
"34,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Humboldt-Universität zu Berlin, Deutschland', 'name': 'Kassung, Christian'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623254,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623254', 'recid': 4623254}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],Making Things Chatter. Historische Debatten und ihre Objekte im Museum,publication,['150225_Kunstgeschichte_I_Kassung-Making_Things_Chatter_Historische_Debatten_und_ihre_Objekte-1181165.pdf']";
"35,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Österreichische Akademie der Wissenschaften, Wien, Österreich";" Austrian Center for Digital Humanities, Wien, Österreich', 'name': 'Wohlfarter, Eva'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623256,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623256', 'recid': 4623256}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],JENSITES – Schriften einer Totenbruderschaft digital,publication,['WOHLFAHRTER_Eva_JENSITES_Schriften_einer_Totenbruderschaft_digital.pdf']"
"36,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Institut für Germanistik, Karl-Franzens-Universität Graz', 'name': 'Zehetner, Elisabeth'}, {'affiliation': 'Institut für Germanistik, Karl-Franzens-Universität Graz', 'name': 'Edler, Stefanie'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623258,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623258', 'recid': 4623258}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],""Neue Wege des Sammelns, Erfassens und Erforschens: Die Datenbank 'Dialect Cultures'"",publication,['ZEHETNER_Elisabeth_Neue_Wege_des_Sammelns_Erfassens_und_Erforschens_Die_Datenbank_Dialect_Cultures.pdf']";
"37,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Musikwissenschaftliches Seminar Detmold / Paderborn, Deutschland', 'name': 'Kepper, Johannes'}, {'affiliation': 'Beethoven-Haus Bonn, Deutschland', 'name': 'Cox, Susanne'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623260,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623260', 'recid': 4623260}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],""""""Befund"""" und """"Deutung"""" in Beethovens Schreibprozessen"",publication,['150225_Musikologie_1_Kepper-„Befund“_und_„Deutung“_in_Beethovens_Schreibprozessen-751119.pdf']";
"38,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Musikwissenschaftliches Seminar Detmold/Paderborn', 'name': 'Komprecht, Anna Maria'}, {'affiliation': 'Heinz Nixdorf Institut, Universität Paderborn', 'name': 'Oberhoff, Andreas'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623262,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623262', 'recid': 4623262}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],Modellierung von Annotationen in der digitalen Musik­ und Medienedition,publication,['150225_Musikologie_2_Komprecht-Modellierung_von_Annotationen_in_der_digitalen_Musik--1321134.pdf']";
"39,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Universität Würzburg, Deutschland', 'name': 'Roeder, Torsten'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623264,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623264', 'recid': 4623264}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],Repräsentationen von Migration in musikwissenschaftlichen Datenbanken,publication,['150225_Musikoloige_3_Roeder-ReprÑsentationen_von_Migration_in_musikwissenschaftlichen_Datenbanken-81037.pdf']";
"40,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Universität Leipzig', 'name': 'Meißner, Cordula'}, {'affiliation': 'Universität Leipzig', 'name': 'Wallner, Franziska'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623266,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623266', 'recid': 4623266}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],Das Zusammenspiel automatisierter und interpretativer Verfahren bei der Aufbereitung und Auswertung mündlicher Daten - Fallbeispiele aus der angewandten Wissenschaftssprachforschung,publication,['150225_Philologie_III_1_Mei·ner-Das_Zusammenspiel_automatisierter_und_interpretativer_Verfahren_bei_der_Aufbereitung_und_Auswertung_.pdf']";
"41,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Universität Paderborn', 'name': 'Geierhos, Michaela'}, {'affiliation': 'Universität Paderborn', 'name': 'Bäumer, Frederik Simon'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623268,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623268', 'recid': 4623268}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],Erfahrungsberichte aus zweiter Hand: Erkenntnisse über die Autorschaft von Arztbewertungen in Online-Portalen,publication,['150225_Philologie_III_2_Geierhos-Erfahrungsberichte_aus_zweiter_Hand-241064.pdf']";
"42,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Universität Tübingen, Deutschland', 'name': 'de Kok, Daniël'}, {'affiliation': 'Universität Tübingen, Deutschland', 'name': 'Qiu, Wei'}, {'affiliation': 'Universität Tübingen, Deutschland', 'name': 'Hinrichs, Marie'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623270,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623270', 'recid': 4623270}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],WebLicht: Bombardieren bevor die Services explodieren,publication,['150225_Philologie_III_3_de_Kok-WebLicht-1151162.pdf']";
"43,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Steinheim-Institut für deutsch-jüdische Geschichte, Essen', 'name': 'Kollatz, Thomas'}, {'affiliation': 'Akademie der Wissenschaften und der Literatur Mainz Arbeitsstelle """"Mittelhochdeutsches Wörterbuch"""" an der Universität Trier', 'name': 'Recker-Hamm, Ute'}, {'affiliation': 'Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften', 'name': 'Schneider, Matthias'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623272,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623272', 'recid': 4623272}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],Frosch oder Prinz? TUSTEP als Werkzeug der Digitalen Geisteswissenschaften – ein Workshop der International TUSTEP User Group,publication,['150223_Workshop_I_Kollatz-Frosch_oder_Prinz_TUSTEP_als_Werkzeug_der_digitalen_Geisteswissenschaften_–\xa0ein_Workshop_der_In_a.pdf']";
"44,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Universität Würzburg', 'name': 'Jannidis, Fotis'}, {'affiliation': 'Universität Würzburg', 'name': 'Krug, Markus'}, {'affiliation': 'Universität Würzburg', 'name': 'Puppe, Frank'}, {'affiliation': 'Universität Würzburg', 'name': 'Reger, Isabella'}, {'affiliation': 'Universität Würzburg', 'name': 'Töpfer, Martin'}, {'affiliation': 'Universität Würzburg', 'name': 'Weimer, Lukas'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623274,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623274', 'recid': 4623274}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],Automatische Erkennung von Figuren in deutschsprachigen Romanen,publication,['150225_Philologie_II_1_Jannidis-Automatische_Erkennung_von_Figuren_in_deutschsprachigen_Romanen-271069.pdf']";
"45,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Universität Hamburg', 'name': 'Gius, Evelyn'}, {'affiliation': 'Universität Hamburg', 'name': 'Petris, Marco'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623276,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623276', 'recid': 4623276}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],Die explorative Visualisierung von Texten. Von den Herausforderungen der Darstellung geisteswissenschaftlicher Primär- und Annotationsdaten,publication,['150225_Philologie_II_2_Gius-Die_explorative_Visualisierung_von_Texten_Von_den_Herausforderungen_der_Darstellung_geisteswissenschaftli.pdf']";
"46,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Eberhard Karls Universität Tübingen, Deutschland', 'name': 'Zirker, Angelika'}, {'affiliation': 'Eberhard Karls Universität Tübingen, Deutschland', 'name': 'Schwabe, Fabian'}, {'affiliation': 'Eberhard Karls Universität Tübingen, Deutschland', 'name': 'Bauer, Matthias'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623278,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623278', 'recid': 4623278}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],Theorie und Praxis der erklärenden Annotation im Kontext der Digital Humanities,publication,['150225_Philologie_II_3_Zirker-Theorie_und_Praxis_der_erklÑrenden_Annotation_im_Kontext_der_Digital_Humanities-131044.pdf']";
"47,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften', 'name': 'Geyken, Alexander'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften', 'name': 'Boenig, Matthias'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften', 'name': 'Haaf, Susanne'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften', 'name': 'Jurish, Bryan'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften', 'name': 'Thomas, Christian'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften', 'name': 'Würzner, Kay-Michael'}, {'affiliation': 'Berlin-Brandenburgische Akademie der Wissenschaften', 'name': 'Wiegand, Frank'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623280,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623280', 'recid': 4623280}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],Zeitliche Verlaufskurven in den DTA- und DWDS-Korpora: Wörter und Wortverbindungen über 400 Jahre (1600–2000),publication,['150225_Philologie_IV_1_Geyken-Zeitliche_Verlaufskurven_in_den_DTA-_und_DWDS-Korpora-1191161.pdf']";
"48,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2015,23.02.2015-27.02.2015,Graz,""DHd 2015 Von Daten zu Erkenntnissen: Digitale Geisteswissenschaften als Mittler zwischen Information und Interpretation. 2. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2015.uni-graz.at/de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Stigler, Johannes', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Institut für Computerlinguistik, Universität Heidelberg', 'name': 'Heckmann, Dustin'}, {'affiliation': 'Institut für Computerlinguistik, Universität Heidelberg', 'name': 'Frank, Anette'}, {'affiliation': 'Exzellenzcluster """"Asien and Europa in a Global Context"""", Universität Heidelberg', 'name': 'Arnold, Matthias'}, {'affiliation': 'DAASI International GmbH', 'name': 'Gietz, Peter'}, {'affiliation': 'Exzellenzcluster """"Asien and Europa in a Global Context"""", Universität Heidelberg', 'name': 'Roth, Christian'}]"",A single abstract from the DHd-2015 Book of Abstracts.,10.5281/zenodo.4623282,['DHd2015'],CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4623282', 'recid': 4623282}"",2015-03-12,conferencepaper,['http://gams.uni-graz.at/o:dhd2015.abstracts-gesamt'],Citation Segmentation from Sparse & Noisy Data: An Unsupervised Joint Inference Approach with Markov Logic Networks,publication,['150225_Philologie_IV_2_Heckmann-Citation_Segmentation_from_Sparse_&_Noisy_Data-1551175.pdf']";
